,Fiyat,Oda,Alan,Yas,Konum,Kat
703,971,1,61,0,Arnavutköy,14
704,1024,0,353,8,Arnavutköy,14
705,550,0,51,60,Arnavutköy,11
706,811,0,16,75,Arnavutköy,5
707,1517,0,366,23,Arnavutköy,17
708,1196,1,87,32,Arnavutköy,18
709,1190,1,101,1,Arnavutköy,13
710,1024,0,353,8,Arnavutköy,14
711,1444,0,146,4,Arnavutköy,14
712,414,1,21,60,Arnavutköy,11
713,902,0,1,0,Arnavutköy,0
714,931,4,151,0,Arnavutköy,1
715,1702,0,51,35,Arnavutköy,1
716,550,0,51,60,Arnavutköy,11
717,1702,0,51,35,Arnavutköy,1
718,960,1,51,48,Arnavutköy,15
719,81,1,96,60,Arnavutköy,14
720,1093,1,332,60,Arnavutköy,14
721,708,0,11,48,Arnavutköy,13
722,913,1,21,48,Arnavutköy,13
723,1136,1,86,0,Arnavutköy,14
724,1124,0,11,24,Arnavutköy,0
725,1093,1,332,60,Arnavutköy,14
726,1094,1,116,33,Arnavutköy,14
727,1118,0,86,0,Arnavutköy,15
728,930,0,1,38,Arnavutköy,13
729,930,0,23,0,Arnavutköy,0
730,1626,0,56,1,Arnavutköy,17
731,578,1,201,0,Arnavutköy,19
732,578,1,201,0,Arnavutköy,19
733,1089,1,71,60,Arnavutköy,13
734,1180,1,121,0,Arnavutköy,13
735,550,0,51,60,Arnavutköy,11
736,549,0,353,0,Arnavutköy,11
737,1702,0,51,35,Arnavutköy,1
738,1960,2,21,23,Arnavutköy,0
739,991,0,366,0,Arnavutköy,13
740,991,0,366,0,Arnavutköy,13
741,991,0,366,0,Arnavutköy,13
742,1229,0,17,1,Arnavutköy,16
743,811,0,16,60,Arnavutköy,5
744,1264,0,66,0,Arnavutköy,13
745,1104,1,332,0,Arnavutköy,13
746,1048,0,360,33,Arnavutköy,14
747,477,0,36,4,Arnavutköy,11
748,278,1,16,34,Arnavutköy,15
749,64,1,21,43,Arnavutköy,11
750,516,1,353,48,Arnavutköy,11
751,1272,0,6,40,Arnavutköy,11
752,1048,0,360,33,Arnavutköy,14
