,Fiyat,Oda,Alan,Yas,Konum,Kat
286,1865,0,348,60,Adalar,1
287,549,0,1,41,Adalar,0
288,549,0,1,41,Adalar,0
289,1648,0,71,43,Adalar,0
290,1180,4,11,39,Adalar,0
291,215,4,6,23,Adalar,0
292,1721,1,11,38,Adalar,0
293,1048,1,6,0,Adalar,0
294,451,0,21,38,Adalar,0
295,1750,0,121,61,Adalar,0
296,2008,0,51,17,Adalar,0
297,2008,0,51,17,Adalar,0
298,215,4,6,23,Adalar,0
299,173,1,21,0,Adalar,0
300,173,1,21,0,Adalar,0
301,709,0,111,18,Adalar,0
302,2106,1,46,0,Adalar,0
303,1089,0,355,4,Adalar,0
304,1789,1,111,32,Adalar,0
305,1789,1,111,32,Adalar,0
306,1789,0,353,0,Adalar,0
307,1789,0,353,0,Adalar,0
308,560,0,171,27,Adalar,0
309,560,0,171,27,Adalar,0
310,1382,4,11,39,Adalar,0
311,1025,0,95,0,Adalar,1
312,1897,4,347,48,Adalar,0
313,917,0,360,8,Adalar,0
314,1897,4,347,48,Adalar,0
315,1025,0,95,0,Adalar,1
316,323,4,121,0,Adalar,0
317,323,4,121,0,Adalar,0
318,640,0,353,0,Adalar,0
319,1180,0,16,0,Adalar,0
320,1596,0,353,0,Adalar,0
321,232,0,360,60,Adalar,0
322,1488,0,11,32,Adalar,0
323,1578,0,1,33,Adalar,0
324,1354,4,38,38,Adalar,0
325,1488,0,81,42,Adalar,0
326,322,0,11,39,Adalar,0
327,1731,1,26,49,Adalar,0
328,728,0,16,27,Adalar,0
329,1706,2,31,39,Adalar,0
330,811,0,26,44,Adalar,0
331,930,1,6,30,Adalar,0
332,1638,0,252,2,Adalar,1
333,1432,3,36,19,Adalar,0
334,1382,0,337,64,Adalar,0
335,1120,0,315,38,Adalar,0
336,1432,3,36,19,Adalar,0
337,891,0,353,48,Adalar,0
338,1488,0,38,16,Adalar,0
339,2098,2,41,49,Adalar,0
340,1341,2,41,32,Adalar,0
341,1864,0,66,33,Adalar,1
342,729,0,124,75,Adalar,0
343,2049,4,42,0,Adalar,0
344,1488,0,38,16,Adalar,0
345,2049,4,42,0,Adalar,0
346,1897,0,21,46,Adalar,0
347,729,0,124,75,Adalar,0
348,2,0,9,0,Adalar,0
349,1702,0,46,39,Adalar,0
350,1789,0,332,81,Adalar,1
351,1789,0,332,81,Adalar,1
352,728,0,16,27,Adalar,0
353,63,2,339,4,Adalar,0
354,2136,4,81,60,Adalar,1
355,1578,0,51,42,Adalar,0
356,1648,0,39,0,Adalar,1
357,1578,4,9,43,Adalar,0
358,1536,4,31,36,Adalar,0
359,240,2,86,38,Adalar,0
360,1648,0,39,0,Adalar,1
361,1382,1,26,0,Adalar,0
362,1476,0,308,0,Adalar,0
363,1175,0,46,0,Adalar,0
364,1044,0,54,0,Adalar,1
365,1044,0,54,0,Adalar,1
366,1578,0,41,41,Adalar,0
367,1779,1,31,33,Adalar,0
368,1175,0,46,0,Adalar,0
369,1104,4,46,81,Adalar,0
370,1104,4,46,81,Adalar,0
371,251,0,71,39,Adalar,0
372,1821,0,91,0,Adalar,0
373,2106,1,41,38,Adalar,0
374,1982,0,76,67,Adalar,0
375,2058,1,353,38,Adalar,0
376,414,0,31,39,Adalar,0
377,2098,2,39,50,Adalar,0
378,1149,2,16,49,Adalar,0
379,1149,2,16,49,Adalar,0
380,414,0,31,39,Adalar,0
381,1180,0,347,38,Adalar,0
382,202,0,332,24,Adalar,0
383,1779,1,31,33,Adalar,0
384,1779,1,31,33,Adalar,0
385,1488,0,38,16,Adalar,0
386,991,0,347,0,Adalar,0
387,708,0,21,32,Adalar,0
388,1383,2,51,39,Adalar,0
389,708,0,21,32,Adalar,0
390,1841,0,347,0,Adalar,0
391,187,4,38,0,Adalar,1
392,1383,2,51,39,Adalar,0
393,187,4,38,0,Adalar,1
394,1422,0,41,43,Adalar,0
395,1422,0,41,43,Adalar,0
396,136,2,36,23,Adalar,0
397,930,2,26,23,Adalar,0
398,930,2,26,23,Adalar,0
399,1185,0,360,48,Adalar,0
400,930,2,26,23,Adalar,0
401,753,1,360,32,Adalar,0
402,233,0,21,78,Adalar,0
403,1149,0,16,49,Adalar,0
404,625,3,339,48,Adalar,0
405,1264,3,353,23,Adalar,0
406,1264,3,353,23,Adalar,0
407,1510,3,338,41,Adalar,0
408,1180,1,61,0,Adalar,0
409,625,3,339,48,Adalar,0
410,1180,1,61,0,Adalar,0
411,251,0,71,39,Adalar,0
412,251,0,71,39,Adalar,0
413,63,4,1,0,Adalar,0
414,1488,1,91,38,Adalar,0
415,1331,0,101,39,Adalar,0
416,1401,4,366,15,Adalar,0
417,1317,2,6,48,Adalar,0
418,1264,0,1,43,Adalar,0
419,1297,2,193,39,Adalar,0
